RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,PrevDelq,RiskEst,TradesDelq,RevBalance/CreditLimit
Good,77.0,154.0,2.0,71.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,28.0,2.0,29.0,0-4 months,0.0,39.0,5.0,3.0,0.0,62.0,No,Low Risk,No,High
Good,82.0,191.0,12.0,98.0,9.0,1.0,0.0,90.0,30-39 months,unknown delinquency,60 days delinquent,10.0,0.0,60.0,0-4 months,1.0,0.0,0.0,2.0,0.0,60.0,Yes,Low Risk,Yes,Low
Good,75.0,138.0,2.0,67.0,12.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,13.0,2.0,31.0,0-4 months,2.0,33.0,3.0,3.0,0.0,75.0,No,Low Risk,No,High
Bad,70.0,21.0,7.0,14.0,4.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,4.0,2.0,75.0,0-4 months,5.0,28.0,4.0,2.0,1.0,100.0,No,High Risk,No,High
Good,84.0,143.0,3.0,72.0,22.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,1.0,50.0,0-4 months,1.0,0.0,0.0,3.0,1.0,50.0,No,Low Risk,No,Low
Bad,72.0,110.0,1.0,52.0,33.0,1.0,1.0,97.0,20-29 months,unknown delinquency,derogatory comment,37.0,4.0,22.0,0-4 months,5.0,12.0,6.0,2.0,0.0,42.0,Yes,Low Risk,Yes,Low
Bad,54.0,454.0,9.0,57.0,20.0,1.0,1.0,88.0,0-9 months,30 days delinquent,30 days delinquent,0.0,2.0,67.0,5-9 months,0.0,68.0,2.0,6.0,1.0,90.0,Yes,High Risk,Yes,High
Bad,64.0,286.0,1.0,97.0,27.0,0.0,0.0,93.0,0-9 months,30 days delinquent,30 days delinquent,53.0,3.0,45.0,0-4 months,5.0,33.0,2.0,3.0,1.0,56.0,Yes,High Risk,Yes,High
Bad,54.0,316.0,15.0,116.0,16.0,2.5,1.0,72.5,0-9 months,90 days delinquent,90 days delinquent,21.0,0.0,14.0,0-4 months,2.0,28.0,4.0,2.0,0.0,50.0,Yes,High Risk,Yes,High
Good,75.0,301.0,11.0,117.0,14.0,0.0,0.0,93.0,0-9 months,30 days delinquent,30 days delinquent,10.0,1.0,20.0,no “hard” inquiries,0.0,15.0,5.0,1.0,0.0,75.0,Yes,Low Risk,Yes,Low
Bad,75.0,316.0,14.0,56.0,14.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,31.0,0.0,21.0,No inquiries,0.0,41.0,2.0,1.0,2.0,43.0,No,Low Risk,No,High
Bad,76.0,182.0,0.0,89.0,41.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,44.0,3.0,27.0,0-4 months,3.0,40.0,5.0,4.0,2.5,50.0,No,Low Risk,No,High
Good,72.0,254.0,24.0,106.0,23.0,1.0,0.0,92.0,10-19 months,unknown delinquency,60 days delinquent,15.0,0.0,42.0,0-4 months,5.0,45.0,2.0,4.0,0.0,60.0,Yes,Low Risk,Yes,High
Good,82.0,233.0,13.0,119.0,37.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,39.0,0.0,23.0,10-14 months,0.0,20.0,5.0,3.0,0.0,47.0,No,Low Risk,No,High
Bad,67.0,204.0,9.0,53.0,38.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,40.0,4.0,42.0,5-9 months,1.0,42.0,4.0,2.0,2.0,54.0,No,High Risk,No,High
Good,73.0,164.0,6.0,76.0,43.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,47.0,1.0,32.0,0-4 months,1.0,3.0,3.0,1.0,0.0,31.0,No,Low Risk,No,Low
Bad,76.0,346.0,21.0,120.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,27.0,0.0,37.0,No inquiries,0.0,68.0,5.0,2.0,2.0,88.0,No,Low Risk,No,High
Bad,55.0,194.0,25.5,100.0,18.0,0.0,0.0,84.0,0-9 months,30 days delinquent,30 days delinquent,11.0,0.0,42.0,20+ months,0.0,84.0,5.0,3.0,2.5,100.0,Yes,High Risk,Yes,High
Bad,68.0,454.0,3.0,80.0,32.0,0.0,0.0,97.0,20-29 months,unknown delinquency,30 days delinquent,0.0,4.0,16.0,0-4 months,2.0,32.0,9.5,1.0,2.0,87.0,Yes,High Risk,Yes,High
Good,87.0,348.0,11.0,127.0,26.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,26.0,1.0,27.0,0-4 months,3.0,14.0,2.0,3.0,1.0,50.0,No,Low Risk,No,Low
Good,81.0,297.0,7.0,84.0,23.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,23.0,2.0,9.0,0-4 months,1.0,23.0,4.0,1.0,0.0,28.0,No,Low Risk,No,High
Good,84.0,263.0,8.0,72.0,15.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,16.0,1.0,27.0,0-4 months,1.0,8.0,2.0,1.0,1.0,60.0,No,Low Risk,No,Low
Bad,80.0,151.0,13.0,80.0,10.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,0.0,40.0,0-4 months,0.0,54.0,3.0,2.0,0.0,100.0,No,Low Risk,No,High
Good,79.0,161.0,8.0,83.0,17.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,19.0,2.0,42.0,0-4 months,1.0,13.0,5.0,1.0,1.0,86.0,No,Low Risk,No,Low
Good,69.0,289.0,22.0,105.0,7.0,1.0,1.0,75.0,0-9 months,derogatory comment,derogatory comment,8.0,0.0,25.0,no “hard” inquiries,0.0,2.0,3.0,2.0,0.0,100.0,Yes,High Risk,Yes,Low
Bad,80.0,168.0,1.0,83.0,21.0,0.0,0.0,91.0,20-29 months,unknown delinquency,30 days delinquent,23.0,2.0,35.0,0-4 months,2.0,8.0,3.0,3.0,0.0,55.0,Yes,Low Risk,Yes,Low
Good,80.0,161.0,17.0,82.0,9.0,0.0,0.0,100.0,No delinquencies,unknown delinquency,unknown delinquency,10.0,0.0,70.0,5-9 months,0.0,28.0,0.0,1.0,1.0,50.0,No,Low Risk,No,High
Bad,57.0,257.0,7.0,81.0,11.0,2.5,2.6,72.5,0-9 months,120+ days delinquent,120+ days delinquent,15.0,1.0,40.0,0-4 months,1.0,11.0,3.0,1.0,0.0,57.0,Yes,High Risk,Yes,Low
Bad,76.0,138.0,5.0,48.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,20.0,2.0,35.0,0-4 months,0.0,40.0,2.0,2.0,1.0,50.0,No,Low Risk,No,High
Bad,65.0,299.0,6.0,77.0,11.0,1.0,1.0,92.0,0-9 months,derogatory comment,derogatory comment,12.0,4.0,17.0,0-4 months,5.0,18.0,6.0,1.0,1.0,78.0,Yes,High Risk,Yes,Low
Good,84.0,179.0,6.0,77.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,3.0,17.0,5-9 months,0.0,3.0,1.0,2.0,0.0,43.0,No,Low Risk,No,Low
Good,87.0,294.0,8.0,93.0,35.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,53.0,2.0,23.0,0-4 months,1.0,2.0,1.0,4.0,0.0,24.0,No,Low Risk,No,Low
Good,75.0,141.0,8.0,71.0,7.0,1.0,1.0,78.0,20-29 months,unknown delinquency,120+ days delinquent,9.0,1.0,33.0,0-4 months,0.0,2.0,1.0,1.0,0.0,50.0,Yes,Low Risk,Yes,Low
Bad,70.0,198.0,25.5,93.0,7.0,1.0,0.0,72.5,10-19 months,unknown delinquency,60 days delinquent,8.0,0.0,50.0,No inquiries,0.0,28.0,1.0,3.0,1.0,67.0,Yes,High Risk,Yes,High
Bad,75.0,293.0,9.0,143.0,9.0,0.0,0.0,89.0,10-19 months,30 days delinquent,30 days delinquent,9.0,2.0,22.0,0-4 months,0.0,59.0,3.0,1.0,1.0,57.0,Yes,Low Risk,Yes,High
Good,56.0,308.0,7.0,98.0,23.0,2.5,2.6,75.0,10-19 months,derogatory comment,derogatory comment,28.0,1.0,46.0,No inquiries,5.0,5.0,1.0,2.0,1.0,43.0,Yes,High Risk,Yes,Low
Good,70.0,88.0,16.0,48.0,12.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,12.0,0.0,8.0,0-4 months,1.0,79.0,7.0,1.0,2.0,89.0,No,High Risk,No,High
Bad,60.0,212.0,2.0,84.0,43.0,0.0,0.0,93.0,10-19 months,30 days delinquent,30 days delinquent,44.0,3.0,23.0,0-4 months,4.0,20.0,9.5,3.0,2.5,52.0,Yes,High Risk,Yes,High
Bad,66.0,165.0,2.0,45.0,18.0,0.0,0.0,85.0,0-9 months,30 days delinquent,30 days delinquent,20.0,4.0,30.0,0-4 months,4.0,13.0,6.0,1.0,0.0,58.0,Yes,High Risk,Yes,Low
Good,70.0,132.0,2.0,68.0,40.0,0.0,0.0,98.0,30-39 months,unknown delinquency,30 days delinquent,30.0,6.0,19.0,0-4 months,5.0,32.0,5.0,2.0,1.0,41.0,Yes,High Risk,Yes,High
Bad,79.0,97.0,9.0,44.0,26.0,0.0,0.0,96.0,60-69 months,unknown delinquency,30 days delinquent,26.0,1.0,12.0,5-9 months,0.0,5.0,5.0,1.0,0.0,33.0,Yes,Low Risk,Yes,Low
Good,80.0,121.0,7.0,58.0,11.0,0.0,0.0,91.0,50-59 months,unknown delinquency,30 days delinquent,11.0,1.0,0.0,0-4 months,1.0,15.0,4.0,2.0,1.0,80.0,Yes,Low Risk,Yes,Low
Bad,65.0,142.0,3.0,69.0,15.0,0.0,0.0,93.0,0-9 months,30 days delinquent,30 days delinquent,15.0,1.0,27.0,0-4 months,0.0,25.0,4.0,1.0,2.5,50.0,Yes,High Risk,Yes,High
Good,74.0,310.0,4.0,101.0,8.0,1.0,0.0,89.0,10-19 months,unknown delinquency,60 days delinquent,9.0,2.0,67.0,10-14 months,0.0,23.0,1.0,4.0,0.0,71.0,Yes,Low Risk,Yes,High
Good,73.0,152.0,2.0,71.0,41.0,0.0,0.0,100.0,No delinquencies,unknown delinquency,unknown delinquency,44.0,5.0,57.0,0-4 months,4.0,16.0,1.0,3.0,1.0,83.0,No,Low Risk,No,Low
Good,65.0,165.0,2.0,43.0,25.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,26.0,7.0,15.0,0-4 months,2.0,35.0,7.0,3.0,2.0,59.0,No,High Risk,No,High
Bad,61.0,128.0,4.0,61.0,5.0,1.0,1.0,75.0,10-19 months,unknown delinquency,derogatory comment,8.0,1.0,38.0,0-4 months,2.0,90.0,1.0,1.0,1.0,100.0,Yes,High Risk,Yes,High
Good,73.0,69.0,15.0,41.0,9.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,9.0,0.0,56.0,no “hard” inquiries,0.0,87.0,1.0,2.0,1.0,75.0,No,Low Risk,No,High
Bad,88.0,209.0,19.0,71.0,5.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,5.0,0.0,40.0,0-4 months,0.0,0.0,0.0,1.0,1.0,50.0,No,Low Risk,No,Low
Good,57.0,361.0,25.5,155.0,24.0,1.0,1.0,85.0,10-19 months,unknown delinquency,derogatory comment,19.0,0.0,27.0,5-9 months,1.0,23.0,6.0,1.0,0.0,73.0,Yes,High Risk,Yes,High
Bad,59.0,216.0,7.0,72.0,32.0,0.0,0.0,91.0,0-9 months,30 days delinquent,30 days delinquent,33.0,3.0,9.0,0-4 months,1.0,37.0,9.0,2.0,2.5,58.0,Yes,High Risk,Yes,High
Bad,58.0,231.0,13.0,73.0,20.0,2.0,2.0,90.0,0-9 months,30 days delinquent,30 days delinquent,23.0,0.0,24.0,0-4 months,2.0,54.0,2.0,4.0,1.0,60.0,Yes,High Risk,Yes,High
Good,87.0,257.0,8.0,78.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,2.0,39.0,0-4 months,1.0,1.0,3.0,2.0,0.0,38.0,No,Low Risk,No,Low
Good,86.0,332.0,15.0,95.0,19.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,19.0,0.0,21.0,0-4 months,1.0,9.0,2.0,2.0,0.0,33.0,No,Low Risk,No,Low
Good,64.0,177.0,8.0,88.0,23.0,0.0,0.0,83.0,10-19 months,30 days delinquent,30 days delinquent,24.0,3.0,42.0,0-4 months,1.0,28.0,4.0,3.0,2.0,70.0,Yes,High Risk,Yes,High
Good,89.0,172.0,5.0,76.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,21.0,1.0,48.0,10-14 months,0.0,14.0,1.0,2.0,0.0,50.0,No,Low Risk,No,Low
Bad,67.0,45.0,5.0,19.0,10.0,2.0,2.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,12.0,3.0,70.0,0-4 months,1.0,83.0,2.0,3.0,1.0,100.0,No,High Risk,No,High
Good,87.0,165.0,25.5,103.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,0.0,60.0,No inquiries,0.0,0.0,1.0,3.0,0.0,50.0,No,Low Risk,No,Low
Good,56.0,177.0,4.0,61.0,10.0,2.0,2.0,72.5,0-9 months,30 days delinquent,derogatory comment,17.0,3.0,53.0,0-4 months,1.0,62.0,5.0,2.0,1.0,88.0,Yes,High Risk,Yes,High
Good,64.0,120.0,11.0,49.0,29.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,29.0,2.0,17.0,0-4 months,0.0,68.0,6.0,3.0,2.5,50.0,No,High Risk,No,High
Good,70.0,272.0,1.0,77.0,28.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,29.0,5.0,28.0,0-4 months,3.0,63.0,1.0,2.0,1.0,31.0,No,High Risk,No,High
Bad,68.0,145.0,15.0,67.0,18.0,2.0,1.0,90.0,0-9 months,120+ days delinquent,120+ days delinquent,20.0,0.0,82.0,No inquiries,3.0,0.0,0.0,3.0,1.0,75.0,Yes,High Risk,Yes,Low
Good,72.0,192.0,11.0,75.0,13.0,1.0,0.0,88.0,0-9 months,60 days delinquent,60 days delinquent,18.0,1.0,56.0,0-4 months,2.0,0.0,0.0,2.0,0.0,40.0,Yes,Low Risk,Yes,Low
Bad,84.0,247.0,3.0,91.0,26.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,26.0,2.0,27.0,0-4 months,2.0,44.0,5.0,1.0,2.0,33.0,No,Low Risk,No,High
Bad,77.0,192.0,5.0,83.0,22.0,0.0,0.0,96.0,50-59 months,unknown delinquency,30 days delinquent,23.0,1.0,39.0,0-4 months,2.0,29.0,4.0,3.0,1.0,54.0,Yes,Low Risk,Yes,High
Bad,54.0,375.0,3.0,99.0,44.0,0.0,0.0,84.0,0-9 months,30 days delinquent,30 days delinquent,44.0,4.0,45.0,0-4 months,2.0,72.0,9.5,4.0,2.5,64.0,Yes,High Risk,Yes,High
Good,79.0,125.0,9.0,57.0,29.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,33.0,1.0,45.0,No inquiries,1.0,1.0,1.0,4.0,0.0,45.0,No,Low Risk,No,Low
Bad,71.0,172.0,1.0,64.0,17.0,0.0,0.0,89.0,20-29 months,unknown delinquency,30 days delinquent,18.0,1.0,33.0,0-4 months,1.0,46.0,7.0,2.0,2.0,75.0,Yes,Low Risk,Yes,High
Good,84.0,394.0,2.0,106.0,23.0,0.0,0.0,92.0,30-39 months,unknown delinquency,30 days delinquent,25.0,1.0,40.0,0-4 months,0.0,11.0,5.0,4.0,0.0,75.0,Yes,Low Risk,Yes,Low
Bad,64.0,139.0,3.0,40.0,23.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,23.0,4.0,43.0,0-4 months,0.0,73.0,5.0,5.0,1.0,91.0,No,High Risk,No,High
Bad,64.0,73.0,8.0,32.0,38.0,0.0,0.0,97.0,0-9 months,30 days delinquent,30 days delinquent,38.0,3.0,58.0,No inquiries,0.0,61.0,9.5,5.0,1.0,89.0,Yes,High Risk,Yes,High
Bad,70.0,77.0,9.0,66.0,5.0,1.0,1.0,83.0,20-29 months,unknown delinquency,derogatory comment,10.0,1.0,33.0,No inquiries,0.0,35.0,1.0,2.0,0.0,100.0,Yes,High Risk,Yes,High
Bad,67.0,454.0,3.0,43.0,19.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,2.0,27.0,10-14 months,0.0,53.0,6.0,4.0,2.5,71.0,No,High Risk,No,High
Bad,75.0,160.0,4.0,57.0,30.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,31.0,5.0,55.0,0-4 months,2.0,7.0,3.0,6.0,0.0,86.0,No,Low Risk,No,Low
Bad,74.0,129.0,1.0,70.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,3.0,32.0,No inquiries,0.0,61.0,6.0,3.0,2.5,75.0,No,Low Risk,No,High
Good,89.0,277.0,4.0,87.0,25.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,27.0,3.0,30.0,0-4 months,1.0,2.0,1.0,2.0,0.0,30.0,No,Low Risk,No,Low
Bad,63.0,50.0,13.0,25.0,10.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,0.0,60.0,0-4 months,5.0,76.0,3.0,2.0,1.0,83.0,No,High Risk,No,High
Good,62.0,236.0,18.0,88.0,26.0,0.0,0.0,88.0,10-19 months,30 days delinquent,30 days delinquent,45.0,0.0,23.0,0-4 months,3.0,49.0,9.5,2.0,2.0,75.0,Yes,High Risk,Yes,High
Bad,63.0,32.0,4.0,20.0,5.0,0.0,0.0,80.0,10-19 months,unknown delinquency,30 days delinquent,5.0,1.0,20.0,No inquiries,2.0,83.0,1.0,1.0,1.0,60.0,Yes,High Risk,Yes,High
Good,76.0,197.0,2.0,71.0,24.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,25.0,2.0,24.0,No inquiries,2.0,33.0,3.0,2.0,1.0,38.0,No,Low Risk,No,High
Good,88.0,196.0,5.0,85.0,32.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,1.0,16.0,0-4 months,1.0,8.0,1.0,2.0,0.0,10.0,No,Low Risk,No,Low
Good,70.0,214.0,3.0,80.0,48.0,0.0,0.0,96.0,60-69 months,unknown delinquency,30 days delinquent,52.0,3.0,35.0,0-4 months,5.0,13.0,9.5,3.0,2.0,62.0,Yes,High Risk,Yes,Low
Good,82.0,127.0,4.0,69.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,28.0,3.0,18.0,0-4 months,3.0,25.0,6.0,3.0,1.0,50.0,No,Low Risk,No,High
Bad,57.0,47.0,3.0,31.0,9.0,1.0,1.0,80.0,10-19 months,unknown delinquency,30 days delinquent,11.0,1.0,40.0,0-4 months,0.0,72.0,3.0,2.0,1.0,83.0,Yes,High Risk,Yes,High
Good,82.0,247.0,21.0,99.0,28.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,0.0,32.0,15-19 months,0.0,20.0,5.0,3.0,1.0,67.0,No,Low Risk,No,High
Bad,73.0,288.0,3.0,131.0,23.0,2.5,2.6,89.0,20-29 months,unknown delinquency,60 days delinquent,27.0,2.0,48.0,0-4 months,4.0,24.0,8.0,3.0,2.0,92.0,Yes,Low Risk,Yes,High
Bad,84.0,454.0,16.0,142.0,8.0,1.0,0.0,80.0,60-69 months,unknown delinquency,60 days delinquent,10.0,0.0,40.0,0-4 months,1.0,11.0,3.0,1.0,0.0,100.0,Yes,Low Risk,Yes,Low
Bad,55.0,116.0,3.0,53.0,12.0,2.5,1.0,75.0,60-69 months,unknown delinquency,derogatory comment,16.0,2.0,38.0,0-4 months,2.0,97.0,6.0,4.0,2.5,100.0,Yes,High Risk,Yes,High
Bad,66.0,165.0,13.0,55.0,15.0,2.5,2.6,94.0,60-69 months,unknown delinquency,derogatory comment,17.0,0.0,76.0,0-4 months,4.0,86.0,1.0,3.0,1.0,80.0,Yes,High Risk,Yes,High
Bad,58.0,29.0,2.0,18.0,10.0,0.0,0.0,91.0,10-19 months,unknown delinquency,30 days delinquent,11.0,2.0,45.0,0-4 months,5.0,55.0,5.0,4.0,1.0,90.0,Yes,High Risk,Yes,High
Bad,78.0,182.0,5.0,63.0,22.0,0.0,0.0,91.0,60-69 months,unknown delinquency,30 days delinquent,22.0,1.0,36.0,No inquiries,2.0,21.0,2.0,2.0,1.0,100.0,Yes,Low Risk,Yes,High
Good,63.0,213.0,6.0,65.0,14.0,1.0,1.0,72.5,30-39 months,unknown delinquency,90 days delinquent,18.0,4.0,33.0,0-4 months,1.0,68.0,3.0,1.0,0.0,80.0,Yes,High Risk,Yes,High
Good,68.0,98.0,0.0,48.0,28.0,1.0,1.0,94.0,20-29 months,unknown delinquency,90 days delinquent,32.0,6.0,19.0,0-4 months,5.0,53.0,5.0,2.0,1.0,50.0,Yes,High Risk,Yes,High
Bad,58.0,295.0,5.0,12.0,9.0,0.0,0.0,89.0,0-9 months,30 days delinquent,30 days delinquent,18.0,6.0,11.0,No inquiries,0.0,29.0,7.0,1.0,0.0,89.0,Yes,High Risk,Yes,High
Good,77.0,232.0,9.0,74.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,2.0,28.0,No inquiries,5.0,13.0,2.0,3.0,1.0,63.0,No,Low Risk,No,Low
Good,88.0,211.0,20.0,103.0,13.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,14.0,0.0,57.0,No inquiries,0.0,0.0,2.0,3.0,0.0,71.0,No,Low Risk,No,Low
Bad,59.0,168.0,3.0,38.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,21.0,7.5,38.0,0-4 months,1.0,85.0,9.5,5.0,2.5,94.0,No,High Risk,No,High
Good,75.0,163.0,7.0,78.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,31.0,1.0,35.0,20+ months,0.0,37.0,4.0,2.0,2.0,55.0,No,Low Risk,No,High
Good,79.0,168.0,4.0,54.0,25.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,29.0,3.0,34.0,0-4 months,0.0,40.0,5.0,2.0,2.0,88.0,No,Low Risk,No,High
Good,88.0,272.0,13.0,117.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,21.0,0.0,24.0,20+ months,0.0,0.0,0.0,1.0,0.0,14.0,No,Low Risk,No,Low
Bad,48.0,155.0,25.5,79.0,32.0,2.5,2.6,82.0,0-9 months,derogatory comment,derogatory comment,40.0,0.0,29.0,0-4 months,2.0,88.0,7.0,6.0,2.5,77.0,Yes,High Risk,Yes,High
Bad,63.0,316.0,16.0,92.0,27.0,0.0,0.0,85.0,30-39 months,unknown delinquency,30 days delinquent,27.0,0.0,30.0,0-4 months,1.0,76.0,9.5,3.0,2.5,74.0,Yes,High Risk,Yes,High
Bad,70.0,85.0,3.0,23.0,18.0,1.0,1.0,89.0,40-49 months,unknown delinquency,90 days delinquent,19.0,7.0,47.0,0-4 months,4.0,28.0,6.0,4.0,1.0,77.0,Yes,High Risk,Yes,High
Good,71.0,454.0,7.0,74.0,33.0,0.0,0.0,94.0,40-49 months,unknown delinquency,30 days delinquent,0.0,2.0,30.0,5-9 months,0.0,21.0,5.0,3.0,1.0,50.0,Yes,Low Risk,Yes,High
Bad,81.0,198.0,4.0,63.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,21.0,4.0,30.0,15-19 months,0.0,18.0,7.0,2.0,1.0,69.0,No,Low Risk,No,Low
Bad,65.0,371.0,12.0,123.0,19.0,0.0,0.0,95.0,60-69 months,unknown delinquency,30 days delinquent,20.0,0.0,26.0,0-4 months,3.0,91.0,8.0,3.0,2.5,100.0,Yes,High Risk,Yes,High
Good,68.0,214.0,2.0,17.0,8.0,0.0,0.0,90.0,No Usable/Valid,unknown delinquency,30 days delinquent,10.0,3.0,20.0,No inquiries,0.0,52.0,4.0,1.0,0.0,71.0,Yes,High Risk,Yes,High
Good,77.0,387.0,4.0,123.0,22.0,1.0,1.0,96.0,50-59 months,unknown delinquency,90 days delinquent,23.0,1.0,35.0,No inquiries,1.0,31.0,7.0,3.0,1.0,83.0,Yes,Low Risk,Yes,High
Good,74.0,407.0,2.0,93.0,48.0,1.0,0.0,94.0,10-19 months,unknown delinquency,60 days delinquent,52.0,2.0,35.0,0-4 months,3.0,34.0,2.0,4.0,0.0,50.0,Yes,Low Risk,Yes,High
Bad,56.0,126.0,15.0,66.0,22.0,2.0,2.0,86.0,0-9 months,30 days delinquent,30 days delinquent,22.0,0.0,23.0,10-14 months,0.0,21.0,4.0,2.0,0.0,55.0,Yes,High Risk,Yes,High
Good,76.0,110.0,12.0,62.0,32.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,0.0,53.0,0-4 months,0.0,59.0,5.0,5.0,2.0,83.0,No,Low Risk,No,High
Good,83.0,226.0,25.5,88.0,12.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,13.0,0.0,42.0,No inquiries,1.0,26.0,2.0,1.0,0.0,75.0,No,Low Risk,No,High
Bad,75.0,152.0,1.0,66.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,3.0,36.0,0-4 months,1.0,32.0,5.0,3.0,2.0,62.0,No,Low Risk,No,High
Bad,67.0,134.0,13.0,61.0,17.0,0.0,0.0,94.0,20-29 months,unknown delinquency,30 days delinquent,17.0,0.0,35.0,0-4 months,1.0,22.0,4.0,5.0,2.0,82.0,Yes,High Risk,Yes,High
Good,78.0,239.0,0.0,92.0,28.0,0.0,0.0,97.0,0-9 months,30 days delinquent,30 days delinquent,20.0,4.0,13.0,0-4 months,2.0,2.0,4.0,1.0,0.0,36.0,Yes,Low Risk,Yes,Low
Bad,64.0,242.0,18.0,124.0,16.0,2.0,0.0,72.5,0-9 months,30 days delinquent,60 days delinquent,19.0,0.0,74.0,0-4 months,4.0,27.0,2.0,3.0,0.0,100.0,Yes,High Risk,Yes,High
Good,65.0,266.0,5.0,92.0,32.0,0.0,0.0,94.0,50-59 months,unknown delinquency,30 days delinquent,29.0,1.0,6.0,0-4 months,1.0,49.0,9.5,1.0,2.5,77.0,Yes,High Risk,Yes,High
Good,87.0,207.0,1.0,65.0,14.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,15.0,2.0,33.0,20+ months,1.0,5.0,3.0,2.0,0.0,50.0,No,Low Risk,No,Low
Bad,75.0,146.0,2.0,69.0,24.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,25.0,2.0,52.0,0-4 months,1.0,58.0,3.0,3.0,1.0,86.0,No,Low Risk,No,High
